Date,RF
1991-01,0.52
1991-02,0.48
1991-03,0.44
1991-04,0.53
1991-05,0.47
1991-06,0.42
1991-07,0.49
1991-08,0.46
1991-09,0.46
1991-10,0.42
1991-11,0.39
1991-12,0.38
1992-01,0.34
1992-02,0.28
1992-03,0.34
1992-04,0.32
1992-05,0.28
1992-06,0.32
1992-07,0.31
1992-08,0.26
1992-09,0.26
1992-10,0.23
1992-11,0.23
1992-12,0.28
1993-01,0.23
1993-02,0.22
1993-03,0.25
1993-04,0.24
1993-05,0.22
1993-06,0.25
1993-07,0.24
1993-08,0.25
1993-09,0.26
1993-10,0.22
1993-11,0.25
1993-12,0.23
1994-01,0.25
1994-02,0.21
1994-03,0.27
1994-04,0.27
1994-05,0.31
1994-06,0.31
1994-07,0.28
1994-08,0.37
1994-09,0.37
1994-10,0.38
1994-11,0.37
1994-12,0.44
1995-01,0.42
1995-02,0.4
1995-03,0.46
1995-04,0.44
1995-05,0.54
1995-06,0.47
1995-07,0.45
1995-08,0.47
1995-09,0.43
1995-10,0.47
1995-11,0.42
1995-12,0.49
1996-01,0.43
1996-02,0.39
1996-03,0.39
1996-04,0.46
1996-05,0.42
1996-06,0.4
1996-07,0.45
1996-08,0.41
1996-09,0.44
1996-10,0.42
1996-11,0.41
1996-12,0.46
1997-01,0.45
1997-02,0.39
1997-03,0.43
1997-04,0.43
1997-05,0.49
1997-06,0.37
1997-07,0.43
1997-08,0.41
1997-09,0.44
1997-10,0.42
1997-11,0.39
1997-12,0.48
1998-01,0.43
1998-02,0.39
1998-03,0.39
1998-04,0.43
1998-05,0.4
1998-06,0.41
1998-07,0.4
1998-08,0.43
1998-09,0.46
1998-10,0.32
1998-11,0.31
1998-12,0.38
1999-01,0.35
1999-02,0.35
1999-03,0.43
1999-04,0.37
1999-05,0.34
1999-06,0.4
1999-07,0.38
1999-08,0.39
1999-09,0.39
1999-10,0.39
1999-11,0.36
1999-12,0.44
2000-01,0.41
2000-02,0.43
2000-03,0.47
2000-04,0.46
2000-05,0.5
2000-06,0.4
2000-07,0.48
2000-08,0.5
2000-09,0.51
2000-10,0.56
2000-11,0.51
2000-12,0.5
2001-01,0.54
2001-02,0.38
2001-03,0.42
2001-04,0.39
2001-05,0.32
2001-06,0.28
2001-07,0.3
2001-08,0.31
2001-09,0.28
2001-10,0.22
2001-11,0.17
2001-12,0.15
2002-01,0.14
2002-02,0.13
2002-03,0.13
2002-04,0.15
2002-05,0.14
2002-06,0.13
2002-07,0.15
2002-08,0.14
2002-09,0.14
2002-10,0.14
2002-11,0.12
2002-12,0.11
2003-01,0.1
2003-02,0.09
2003-03,0.1
2003-04,0.1
2003-05,0.09
2003-06,0.1
2003-07,0.07
2003-08,0.07
2003-09,0.08
2003-10,0.07
2003-11,0.07
2003-12,0.08
2004-01,0.07
2004-02,0.06
2004-03,0.09
2004-04,0.08
2004-05,0.06
2004-06,0.08
2004-07,0.1
2004-08,0.11
2004-09,0.11
2004-10,0.11
2004-11,0.15
2004-12,0.16
2005-01,0.16
2005-02,0.16
2005-03,0.21
2005-04,0.21
2005-05,0.24
2005-06,0.23
2005-07,0.24
2005-08,0.3
2005-09,0.29
2005-10,0.27
2005-11,0.31
2005-12,0.32
2006-01,0.35
2006-02,0.34
2006-03,0.37
2006-04,0.36
2006-05,0.43
2006-06,0.4
2006-07,0.4
2006-08,0.42
2006-09,0.41
2006-10,0.41
2006-11,0.42
2006-12,0.4
2007-01,0.44
2007-02,0.38
2007-03,0.43
2007-04,0.44
2007-05,0.41
2007-06,0.4
2007-07,0.4
2007-08,0.42
2007-09,0.32
2007-10,0.32
2007-11,0.34
2007-12,0.27
2008-01,0.21
2008-02,0.13
2008-03,0.17
2008-04,0.18
2008-05,0.18
2008-06,0.17
2008-07,0.15
2008-08,0.13
2008-09,0.15
2008-10,0.08
2008-11,0.03
2008-12,0.0
2009-01,0.0
2009-02,0.01
2009-03,0.02
2009-04,0.01
2009-05,0.0
2009-06,0.01
2009-07,0.01
2009-08,0.01
2009-09,0.01
2009-10,0.0
2009-11,0.0
2009-12,0.01
2010-01,0.0
2010-02,0.0
2010-03,0.01
2010-04,0.01
2010-05,0.01
2010-06,0.01
2010-07,0.01
2010-08,0.01
2010-09,0.01
2010-10,0.01
2010-11,0.01
2010-12,0.01
2011-01,0.01
2011-02,0.01
2011-03,0.01
2011-04,0.0
2011-05,0.0
2011-06,0.0
2011-07,0.0
2011-08,0.01
2011-09,0.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,0.01
2012-06,0.0
2012-07,0.0
2012-08,0.01
2012-09,0.01
2012-10,0.01
2012-11,0.01
2012-12,0.01
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,0.0
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,0.0
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,0.01
2016-01,0.01
2016-02,0.02
2016-03,0.02
2016-04,0.01
2016-05,0.01
2016-06,0.02
2016-07,0.02
2016-08,0.02
2016-09,0.02
2016-10,0.02
2016-11,0.01
2016-12,0.03
2017-01,0.04
2017-02,0.04
2017-03,0.03
2017-04,0.05
2017-05,0.06
2017-06,0.06
2017-07,0.07
2017-08,0.09
2017-09,0.09
2017-10,0.09
2017-11,0.08
2017-12,0.09
2018-01,0.12
2018-02,0.11
2018-03,0.11
2018-04,0.14
2018-05,0.14
2018-06,0.14
2018-07,0.16
2018-08,0.16
2018-09,0.15
2018-10,0.19
2018-11,0.18
2018-12,0.2
2019-01,0.21
2019-02,0.18
2019-03,0.19
2019-04,0.21
2019-05,0.21
2019-06,0.18
2019-07,0.19
2019-08,0.16
2019-09,0.18
2019-10,0.16
2019-11,0.12
2019-12,0.14
2020-01,0.13
2020-02,0.12
2020-03,0.13
2020-04,0.0
2020-05,0.01
2020-06,0.01
2020-07,0.01
2020-08,0.01
2020-09,0.01
2020-10,0.01
2020-11,0.01
2020-12,0.01
2021-01,0.01
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.01
2022-01,0.0
2022-02,0.0
2022-03,0.01
2022-04,0.01
2022-05,0.03
2022-06,0.06
2022-07,0.08
2022-08,0.19
2022-09,0.19
2022-10,0.23
2022-11,0.29
2022-12,0.33
